Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d
3 order Nppoly,0.304,2.971,4.296,-2.55459e-03,1.94298e-02,-7.63211e-03,1.09025e-03,0.00e+00
3 order polylog,1.000,1.000,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
comppoly,0.304,2.971,4.296,0.00e+00,-2.55459e-03,1.94298e-02,-7.63211e-03,1.09025e-03
