Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d
Nppoly,0.070,3.032,26.015,0.000,-9.79994e-05,3.80718e-03,-2.13106e-03,3.89512e-04
Nppoly,0.070,3.032,26.015,0.000,-9.79994e-05,3.80718e-03,-2.13106e-03,3.89512e-04
