Fit_Name,fit_type,Tlow,Thigh,a,b,c,d,e,f,g,h,i,j
CuNi_Coax_NIST,polylog,0.05,7.0,0.467215462299,9.97777036022,9.43745243479,-77.8451731105,99.9999617338,-50.2988875047,7.51087053225,1.62506145678,0.65182597855,-7.67236577305
CuNi_Coax_NIST,polylog,0.05,7.0,0.467215462299,9.97777036022,9.43745243479,-77.8451731105,99.9999617338,-50.2988875047,7.51087053225,1.62506145678,0.65182597855,-7.67236577305
