| Material Name                   | Fit Type                   | Low Temp                   | High Temp                   | Perc Err                   | erf param                   | a                   | b                   | c                   | d                   | e                   | f                   | g                   | h                   | i                   | A                   | B                   | C                   | D                   |
| Molybdenum                      | polylog                    | 2.000                      | 373.000                     | 3.0                        | 0.00e+00                    | 1.07826e+01         | -7.21307e+01        | 2.28574e+02         | -3.84504e+02        | 3.81438e+02         | -2.28838e+02        | 8.12666e+01         | -1.56910e+01        | 1.26814e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| MylarPET                        | polylog                    | 1.000                      | 83.000                      | 1.0                        | 0.00e+00                    | -1.37737e+00        | -3.40668e+00        | 2.05842e+01         | -5.31244e+01        | 7.32476e+01         | -5.76546e+01        | 2.61192e+01         | -6.34790e+00        | 6.40331e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| NbTi                            | polylog                    | 0.116                      | 9.232                       | 23.505                     | -1.00000e+00                | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -2.31297e+00        | 1.48727e+00         | 2.62388e-01         | 4.44392e-01         | 
| Nichrome                        | polylog                    | 4.000                      | 300.000                     | ??                         | 0.00e+00                    | -1.50540e+00        | 1.40318e+00         | 1.71974e-01         | -1.29564e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nickel_Steel_Fe_2.25_Ni         | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -3.57850e+00        | 2.08040e+01         | -5.58260e+01        | 8.78120e+01         | -8.35016e+01        | 4.90800e+01         | -1.74348e+01        | 3.42770e+00         | -2.86220e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nylon                           | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -2.61350e+00        | 2.32390e+00         | -4.75860e+00        | 7.16020e+00         | -4.91550e+00        | 1.63240e+00         | -2.50700e-01        | 1.31000e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Phosbronze                      | lowTextrapolate            | 0.010                      | 4.000                       | ??                         | 0.00e+00                    | 4.00000e+00         | 1.00000e-02         | 1.00000e+00         | 3.60000e-01         | 1.00000e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Platinum                        | polylog                    | 3.000                      | 298.000                     | 3.0                        | 0.00e+00                    | -7.33450e+00        | 8.08550e+01         | -2.68441e+02        | 4.81629e+02         | -5.03890e+02        | 3.14813e+02         | -1.15699e+02        | 2.30957e+01         | -1.93362e+00        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polystyrene_2.0_lbft3           | polylog                    | 33.000                     | 300.000                     | 2.0                        | 0.00e+00                    | -1.14545e+03        | 4.08602e+03         | -6.23429e+03        | 5.26011e+03         | -2.64991e+03        | 7.97037e+02         | -1.32524e+02        | 9.39680e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polyurethane_2.0_lbft3_CO2      | polylog                    | 100.000                    | 300.000                     | 1.0                        | 0.00e+00                    | 3.78843e+03         | -7.64266e+03        | 4.59245e+03         | 7.78842e+02         | -2.21443e+03        | 1.09029e+03         | -2.35635e+02        | 1.96609e+01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| PVC_1.25_lbft3_air              | polylog                    | 100.000                    | 300.000                     | 1.5                        | 0.00e+00                    | 1.13146e+04         | -3.08243e+04        | 3.49642e+04         | -2.11414e+04        | 7.18743e+03         | -1.30271e+03        | 9.83525e+01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Stainless_Steel                 | comppoly                   | 0.045                      | 1672.000                    | 6.148                      | 1.19471e+02                 | 5.89480e-02         | 3.84607e-03         | -6.66839e-05        | 3.13158e-07         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -1.56968e+00        | 2.82413e+00         | -1.09799e+00        | 1.61695e-01         | 
| Teflon                          | polylog                    | 4.000                      | 300.000                     | 5.0                        | 0.00e+00                    | 2.73800e+00         | -3.06770e+01        | 8.94300e+01         | -1.36990e+02        | 1.24690e+02         | -6.95560e+01        | 2.33200e+01         | -4.31350e+00        | 3.38290e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Ti6Al4V                         | 3 order polylog            | 0.061                      | 1173.150                    | 11.491                     | -1.41506e+00                | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 1.72407e+00         | -4.37855e-01        | 4.84062e-02         | 0.00e+00            | 
| Titanium_15333                  | polylog                    | 1.400                      | 300.000                     | 3.0                        | 0.00e+00                    | -2.39879e+00        | 8.97074e+00         | -2.91929e+01        | 5.48714e+01         | -5.96714e+01        | 3.88932e+01         | -1.49418e+01        | 3.11162e+00         | -2.70453e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Torlon                          | Nppoly                     | 0.303                      | 2.977                       | 3.265                      | 0.00e+00                    | -7.52786e-04        | 1.52769e-02         | -8.17215e-03        | 1.34033e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| VESPEL                          | Nppoly                     | 0.322                      | 3.032                       | 26.714                     | 0.00e+00                    | 2.53032e-04         | 3.15702e-03         | -1.80723e-03        | 3.40509e-04         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
