Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,e,f,g,h,i,j,A,B,C,D
PVC_3.5_lbft3_CO2,polylog,125.000,300.000,2.0,0.00e+00,-4.12351e+03,9.69059e+03,-7.92009e+03,1.57290e+03,1.45999e+03,-1.02833e+03,2.55773e+02,-2.33193e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Silicon,polylog,0.001,296.000,2.060,-1.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.79082e+00,8.57758e-01,-1.38664e+00,2.47355e-01
SPAM,Nppoly,0.058,1.750,31.976,0.000,1.10871e-03,-6.55611e-03,2.94308e-02,-1.47461e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel,comppoly,0.045,1672.000,5.946,119.471,5.79186e-02,3.93602e-03,-6.84706e-05,3.22930e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.56968e+00,2.82413e+00,-1.09799e+00,1.61695e-01
Stainless_Steel_304,comppoly,0.385,1672.000,3.953,119.786,6.96502e-02,3.01386e-03,-5.04296e-05,2.23367e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.49213e-01,6.23536e-01,-1.71132e-01,3.42081e-02
Stainless_Steel_304L,polylog,4.000,300.000,2.0,0.00e+00,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_310,polylog,148.150,1273.150,2.268,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.25346e-01,6.46708e-01,-2.21432e-01,4.81506e-02
Stainless_Steel_310,Nppoly,0.374,1.670,2.293,0.000,-4.44485e-03,2.00471e-01,-1.66211e-01,4.50594e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Stainless_Steel_316,comppoly,0.045,1670.150,3.392,119.339,4.80988e-02,6.69184e-03,-2.05278e-04,1.94109e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-9.78724e-01,1.97904e+00,-7.26205e-01,1.09896e-01
Stainless_Steel_321,comppoly,0.393,1623.194,4.704,116.307,6.04956e-02,3.56046e-03,-5.97515e-05,2.72011e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.24785e+00,2.17727e+00,-7.41366e-01,1.03982e-01
Stycast,polylog,0.061,1.810,109.741,-1.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.83826e+00,1.68108e+00,-8.51261e-01,-2.65375e-01
Teflon,polylog,0.133,297.000,16.452,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-2.49885e+00,1.85394e+00,-5.84988e-01,3.33076e-02
Ti6Al4V,comppoly,0.001,1173.150,11.491,0.057,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.41506e+00,1.72407e+00,-4.37855e-01
Titanium_15333,polylog,1.400,300.000,3.0,0.00e+00,-2.39879e+00,8.97074e+00,-2.91929e+01,5.48714e+01,-5.96714e+01,3.88932e+01,-1.49418e+01,3.11162e+00,-2.70453e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Torlon,Nppoly,0.303,2.977,3.265,0.000,-7.52786e-04,1.52769e-02,-8.17215e-03,1.34033e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
VESPEL,Nppoly,0.070,3.032,26.015,0.000,-9.79994e-05,3.80718e-03,-2.13106e-03,3.89512e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Balsa_11_lbft3,polylog,88.000,300.000,3.0,0.00e+00,4.81540e+03,-1.29696e+04,1.45208e+04,-8.65416e+03,2.89571e+03,-5.15727e+02,3.81922e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Balsa_6_lbft3,polylog,88.000,300.000,1.5,0.00e+00,4.17245e+03,-1.13100e+04,1.27451e+04,-7.64758e+03,2.57731e+03,-4.62538e+02,3.45351e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Beechwood_flatwise,polylog,92.000,300.000,1.5,0.00e+00,1.03533e+03,-2.19185e+03,1.47051e+03,3.98450e+01,-5.41904e+02,2.89844e+02,-6.52253e+01,5.59956e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_Beechwood_grain,polylog,92.000,300.000,1.0,0.00e+00,-1.37511e+03,3.74069e+03,-4.23847e+03,2.55933e+03,-8.68607e+02,1.57102e+02,-1.18296e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Wood_MapleOak,powerlaw,0.034,1000.000,0.00e+00,0.00e+00,0.00930000e+00,2.70000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
