| Material Name                   | Fit Type                   | Low Temp                   | High Temp                   | Perc Err                   | erf param                   | a                   | b                   | c                   | d                   | e                   | f                   | g                   | h                   | i                   | A                   | B                   | C                   | D                   |
| Graphite                        | lowTextrapolate            | 0.150                      | 1.000                       | ??                         | 0.00e+00                    | 3.00000e+02         | 1.00000e-02         | 1.76000e+00         | 5.10000e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Graphite_a                      | polylog                    | 0.060                      | 4.220                       | ??                         | 0.00e+00                    | -2.69698e+00        | 1.57311e+00         | 6.10351e-01         | 2.46304e-01         | -5.84836e-02        | -9.37299e-02        | -2.66527e-02        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Graphite_brad                   | lowTextrapolate            | 0.100                      | 5.000                       | ??                         | 0.00e+00                    | 5.00000e+00         | 1.00000e-02         | 1.27150e+00         | 7.50000e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Graphite_p                      | polylog                    | 0.060                      | 4.220                       | ??                         | 0.00e+00                    | -2.69559e+00        | 1.57652e+00         | 5.81122e-01         | 2.08721e-01         | 3.57325e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Inconel_718                     | polylog                    | 6.000                      | 275.000                     | 2.0                        | 0.00e+00                    | -8.28921e+00        | 3.94470e+01         | -8.34353e+01        | 9.81690e+01         | -6.72088e+01        | 2.67082e+01         | -5.72050e+00        | 5.11150e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Invar_Fe36Ni                    | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -2.70640e+00        | 8.51910e+00         | -1.59230e+01        | 1.82760e+01         | -1.19116e+01        | 4.40318e+00         | -8.60180e-01        | 6.85080e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Kapton                          | comppoly                   | 0.000                      | 307.000                     | 27.067                     | 5.36000e-01                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -2.38217e+00        | 4.28343e-01         | 5.72575e-01         | 
| Kaptona                         | polylog                    | 4.000                      | 300.000                     | ??                         | 0.00e+00                    | 5.73101e+00         | -3.95199e+01        | 7.99313e+01         | -8.38572e+01        | 5.09157e+01         | -1.79835e+01        | 3.42413e+00         | -2.71330e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Ketron                          | Nppoly                     | 0.298                      | 2.851                       | 15.979                     | 0.00e+00                    | -1.14537e-04        | 8.60986e-03         | -5.86097e-03        | 1.14031e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Kevlar49_Composite_Aramid       | NIST-experf                | 6.000                      | 302.000                     | 7                          | 0.00e+00                    | -2.65000e+00        | 1.98664e+00         | 1.24851e+00         | 5.70000e-01         | -8.00000e+00        | 7.77857e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Kevlar49_Fiber_Aramid           | NIST-experf                | 0.100                      | 291.000                     | 3                          | 0.00e+00                    | -2.42190e+00        | 1.98664e+00         | 1.25744e+00         | 9.61209e-01         | -9.61060e+00        | 7.77857e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Lead                            | polylog                    | 4.000                      | 296.000                     | 2.0                        | 0.00e+00                    | 3.89635e+01         | -2.21405e+02        | 5.97566e+02         | -9.00938e+02        | 8.16405e+02         | -4.55083e+02        | 1.52940e+02         | -2.84512e+01        | 2.25162e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Macor                           | Nppoly                     | 0.337                      | 3.213                       | 4.722                      | 0.00e+00                    | -1.19627e-03        | 4.61593e-03         | 9.70551e-04         | -2.26171e-04        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Manganin                        | comppoly                   | 0.010                      | 1180.000                    | 9.354                      | 8.42953e+01                 | 6.09794e-02         | 1.44929e-02         | -3.56864e-04        | 2.39860e-06         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -4.93652e-01        | 1.91869e+00         | -8.74471e-01        | 1.61197e-01         | 
| Molybdenum                      | polylog                    | 2.000                      | 373.000                     | 3.0                        | 0.00e+00                    | 1.07826e+01         | -7.21307e+01        | 2.28574e+02         | -3.84504e+02        | 3.81438e+02         | -2.28838e+02        | 8.12666e+01         | -1.56910e+01        | 1.26814e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| MylarPET                        | polylog                    | 1.000                      | 83.000                      | 1.0                        | 0.00e+00                    | -1.37737e+00        | -3.40668e+00        | 2.05842e+01         | -5.31244e+01        | 7.32476e+01         | -5.76546e+01        | 2.61192e+01         | -6.34790e+00        | 6.40331e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| NbTi                            | polylog                    | 0.116                      | 9.232                       | 23.505                     | -1.00000e+00                | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -2.31297e+00        | 1.48727e+00         | 2.62388e-01         | 4.44392e-01         | 
| Nichrome                        | polylog                    | 4.000                      | 300.000                     | ??                         | 0.00e+00                    | -1.50540e+00        | 1.40318e+00         | 1.71974e-01         | -1.29564e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nickel_Steel_Fe_2.25_Ni         | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -3.57850e+00        | 2.08040e+01         | -5.58260e+01        | 8.78120e+01         | -8.35016e+01        | 4.90800e+01         | -1.74348e+01        | 3.42770e+00         | -2.86220e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nickel_Steel_Fe_3.25_Ni         | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | 8.94810e-01         | -8.19980e+00        | 2.20960e+01         | -2.76450e+01        | 1.97524e+01         | -8.11130e+00        | 1.77866e+00         | -1.61720e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nickel_Steel_Fe_5.0_Ni          | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -5.72450e-01        | -3.35930e-01        | 3.93790e+00         | -5.45890e+00        | 4.23370e+00         | -1.86530e+00        | 4.32230e-01         | -4.12070e-02        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nickel_Steel_Fe_9.0_Ni          | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -7.12785e-02        | -3.48735e+00        | 1.06547e+01         | -1.29153e+01        | 8.89066e+00         | -3.51482e+00        | 7.43643e-01         | -6.57884e-02        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nylon                           | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -2.61350e+00        | 2.32390e+00         | -4.75860e+00        | 7.16020e+00         | -4.91550e+00        | 1.63240e+00         | -2.50700e-01        | 1.31000e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Phosphorbronze                  | comppoly                   | 3.220                      | 448.000                     | 4.045                      | 6.67600e+01                 | 3.07772e-01         | 1.81895e-02         | -6.08627e-04        | 5.47749e-06         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 2.79098e+01         | -3.85396e+01        | 1.82888e+01         | -2.81150e+00        | 
| Platinum                        | polylog                    | 3.000                      | 298.000                     | 3.0                        | 0.00e+00                    | -7.33450e+00        | 8.08550e+01         | -2.68441e+02        | 4.81629e+02         | -5.03890e+02        | 3.14813e+02         | -1.15699e+02        | 2.30957e+01         | -1.93362e+00        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polystyrene_1.99_lbft3_Freon    | polylog                    | 90.000                     | 300.000                     | 2.0                        | 0.00e+00                    | -1.55750e+03        | 3.98470e+03         | -3.94024e+03        | 1.64967e+03         | 1.28010e+01         | -2.94262e+02        | 1.19590e+02         | -2.06301e+01        | 1.36067e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polystyrene_2.0_lbft3           | polylog                    | 33.000                     | 300.000                     | 2.0                        | 0.00e+00                    | -1.14545e+03        | 4.08602e+03         | -6.23429e+03        | 5.26011e+03         | -2.64991e+03        | 7.97037e+02         | -1.32524e+02        | 9.39680e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polystyrene_3.12_lbft3          | polylog                    | 7.000                      | 300.000                     | 2.0                        | 0.00e+00                    | 0.00e+00            | -1.41280e-01        | 1.41740e+00         | -5.82100e+00        | 1.27220e+01         | -1.59690e+01        | 1.16430e+01         | -4.64490e+00        | -1.51940e+00        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polystyrene_6.24_lbft3          | polylog                    | 4.000                      | 300.000                     | 3.0                        | 0.00e+00                    | 7.39582e+00         | -5.96737e+01        | 1.60580e+02         | -2.40330e+02        | 2.18817e+02         | -1.24155e+02        | 4.29088e+01         | -8.26683e+00        | 6.80820e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polyurethane_1.99_lbft3_Freon   | polylog                    | 76.000                     | 300.000                     | 2.0                        | 0.00e+00                    | -3.21868e+03        | 9.20161e+03         | -1.09567e+04        | 6.95010e+03         | -2.47694e+03        | 4.70284e+02         | -3.71669e+01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polyurethane_2.0_lbft3_CO2      | polylog                    | 100.000                    | 300.000                     | 1.0                        | 0.00e+00                    | 3.78843e+03         | -7.64266e+03        | 4.59245e+03         | 7.78842e+02         | -2.21443e+03        | 1.09029e+03         | -2.35635e+02        | 1.96609e+01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polyurethane_3.06_lbft3_He      | polylog                    | 30.000                     | 300.000                     | 1.0                        | 0.00e+00                    | -3.38980e+01        | 1.17810e+02         | -1.78376e+02        | 1.42038e+02         | -6.30340e+01        | 1.49580e+01         | -1.54680e+00        | 2.06250e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Polyurethane_4.00_lbft3_Freon   | polylog                    | 88.000                     | 300.000                     | 2.0                        | 0.00e+00                    | 7.89790e+02         | -2.34794e+03        | 3.02461e+03         | -2.20676e+03        | 9.89238e+02         | -2.73180e+02        | 4.30650e+01         | -2.98630e+00        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| PVC_1.25_lbft3_air              | polylog                    | 100.000                    | 300.000                     | 1.5                        | 0.00e+00                    | 1.13146e+04         | -3.08243e+04        | 3.49642e+04         | -2.11414e+04        | 7.18743e+03         | -1.30271e+03        | 9.83525e+01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| PVC_3.5_lbft3_CO2               | polylog                    | 125.000                    | 300.000                     | 2.0                        | 0.00e+00                    | -4.12351e+03        | 9.69059e+03         | -7.92009e+03        | 1.57290e+03         | 1.45999e+03         | -1.02833e+03        | 2.55773e+02         | -2.33193e+01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Stainless_Steel                 | comppoly                   | 0.045                      | 1672.000                    | 6.148                      | 1.19471e+02                 | 5.89480e-02         | 3.84607e-03         | -6.66839e-05        | 3.13158e-07         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -1.56968e+00        | 2.82413e+00         | -1.09799e+00        | 1.61695e-01         | 
| Stainless_Steel_304             | comppoly                   | 0.385                      | 1672.000                    | 3.953                      | 1.19786e+02                 | 6.96502e-02         | 3.01386e-03         | -5.04296e-05        | 2.23367e-07         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 1.49213e-01         | 6.23536e-01         | -1.71132e-01        | 3.42081e-02         | 
| Stainless_Steel_304L            | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -1.40870e+00        | 1.39820e+00         | 2.54300e-01         | -6.26000e-01        | 2.33400e-01         | 4.25600e-01         | -4.65800e-01        | 1.65000e-01         | -1.99000e-02        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Stainless_Steel_310_lo          | Nppoly                     | 0.374                      | 1.670                       | 2.293                      | -4.44485e-03                | 2.00471e-01         | -1.66211e-01        | 4.50594e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Stainless_Steel_310_hi          | polylog                    | 148.150                    | 1273.150                    | 2.268                      | 1.25346e-01                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 6.46708e-01         | -2.21432e-01        | 4.81506e-02         | 0.00e+00            | 
