| Material Name             | Fit Type             | Low Temp             | High Temp             | a             | b             | c             | d             | e             | f             | g             | h             | i             | A             | erf param             | B             | C             | D             |
|  Molybdenum               | NIST-1               | 2.000                | 373.000               | 1.07826e+01   | -7.21307e+01  | 2.28574e+02   | -3.84504e+02  | 3.81438e+02   | -2.28838e+02  | 8.12666e+01   | -1.56910e+01  | 1.26814e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-2.25 Ni) | NIST-1               | 4.000                | 300.000               | -3.57850e+00  | 2.08040e+01   | -5.58260e+01  | 8.78120e+01   | -8.35016e+01  | 4.90800e+01   | -1.74348e+01  | 3.42770e+00   | -2.86220e-01  | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-3.25 Ni) (UNS S20103) | NIST-1               | 4.000                | 300.000               | 8.94810e-01   | -8.19980e+00  | 2.20960e+01   | -2.76450e+01  | 1.97524e+01   | -8.11130e+00  | 1.77866e+00   | -1.61720e-01  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-5.0 Ni) (UNS S20153) | NIST-1               | 4.000                | 300.000               | -5.72450e-01  | -3.35930e-01  | 3.93790e+00   | -5.45890e+00  | 4.23370e+00   | -1.86530e+00  | 4.32230e-01   | -4.12070e-02  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-9.0 Ni) (UNS S21800) | NIST-1               | 4.000                | 300.000               | -7.12785e-02  | -3.48735e+00  | 1.06547e+01   | -1.29153e+01  | 8.89066e+00   | -3.51482e+00  | 7.43643e-01   | -6.57884e-02  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Platinum                 | NIST-1               | 3.000                | 298.000               | -7.33450e+00  | 8.08550e+01   | -2.68441e+02  | 4.81629e+02   | -5.03890e+02  | 3.14813e+02   | -1.15699e+02  | 2.30957e+01   | -1.93362e+00  | ^             | ^                     | ^             | ^             | ^             | 
|  Polyamide (Nylon)        | NIST-1               | 4.000                | 300.000               | -2.61350e+00  | 2.32390e+00   | -4.75860e+00  | 7.16020e+00   | -4.91550e+00  | 1.63240e+00   | -2.50700e-01  | 1.31000e-02   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Polyethylene Terephthalate | NIST-1               | 1.000                | 83.000                | -1.37737e+00  | -3.40668e+00  | 2.05842e+01   | -5.31244e+01  | 7.32476e+01   | -5.76546e+01  | 2.61192e+01   | -6.34790e+00  | 6.40331e-01   | ^             | ^                     | ^             | ^             | ^             | 
|  Polyimide (Kapton)       | NIST-1               | 4.000                | 300.000               | 5.73101e+00   | -3.95199e+01  | 7.99313e+01   | -8.38572e+01  | 5.09157e+01   | -1.79835e+01  | 3.42413e+00   | -2.71330e-01  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Polystyrene              | NIST-1               | 90.000               | 300.000               | -1.55750e+03  | 3.98470e+03   | -3.94024e+03  | 1.64967e+03   | 1.28010e+01   | -2.94262e+02  | 1.19590e+02   | -2.06301e+01  | 1.36067e+00   | ^             | ^                     | ^             | ^             | ^             | 
